"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diff"
"1","1",2000,250,"Logistic",-173.594177016383,3,0.0133544408486717,-361.670618744354,3,0.000465131556613284,188.076441727971,0,0.0128893092920584
"1","1",2000,250,"Logistic",-192.003142411601,3,0.0133713814971023,-421.541634881105,3,0.000440829232924719,229.538492469504,0,0.0129305522641776
"1","1",2000,250,"Logistic",-203.657693997289,3,0.0139809844602609,-373.174638394172,3,0.000820189334424089,169.516944396883,0,0.0131607951258368
"1","1",2000,250,"Logistic",-164.63445013984,3,0.016547113239136,-369.613874362271,3,0.00114983323819967,204.97942422243,0,0.0153972800009363
"1","1",2000,250,"Logistic",-243.291012821198,3,0.0116757270182903,-416.542864423749,3,0.00104441428192356,173.251851602551,0,0.0106313127363667
"1","1",2000,250,"Logistic",-144.003155208963,3,0.0157290319737727,-418.338777963743,3,0.000177732272503211,274.335622754779,0,0.0155512997012695
"1","1",2000,250,"Logistic",-187.410515466059,3,0.0162729547417385,-419.860055963616,3,0.000210127282909753,232.449540497557,0,0.0160628274588287
"1","1",2000,250,"Logistic",-161.028584626555,3,0.0147895200140383,-393.298980621113,3,0.000793560385607703,232.270395994558,0,0.0139959596284306
"1","1",2000,250,"Logistic",-167.676167984568,3,0.0180401690838742,-443.771164942371,3,0.000933565044047154,276.094996957803,0,0.0171066040398271
"1","1",2000,250,"Logistic",-253.771275056314,3,0.0127606998143669,-403.075577068365,3,0.00160729118533621,149.304302012051,0,0.0111534086290306
"1","1",2000,250,"Logistic",-214.695191517186,3,0.0150344066329169,-403.967277379928,3,0.000739691661102725,189.272085862742,0,0.0142947149718142
"1","1",2000,250,"Logistic",-174.853628070934,3,0.0141687832733684,-449.740905218166,3,0.000582632351152575,274.887277147232,0,0.0135861509222158
"1","1",2000,250,"Logistic",-194.039693460706,3,0.016574792816678,-410.366288612138,3,0.000642621862890214,216.326595151432,0,0.0159321709537878
"1","1",2000,250,"Logistic",-218.862383024888,3,0.013906824199235,-380.191757373068,3,0.00169050353395823,161.32937434818,0,0.0122163206652768
"1","1",2000,250,"Logistic",-248.98087146857,3,0.0109157096194361,-378.059352704763,3,0.000853620170145276,129.078481236193,0,0.0100620894492908
"1","1",2000,250,"Logistic",-199.953158837208,3,0.0143360299118633,-401.372485082942,3,0.000272830145742451,201.419326245734,0,0.0140631997661208
"1","1",2000,250,"Logistic",-208.399036118703,3,0.0150726696564074,-388.128670177025,3,0.0017297138136635,179.729634058322,0,0.0133429558427439
"1","1",2000,250,"Logistic",-218.313308105692,3,0.0135967959200199,-388.014808487184,3,0.00112519500474365,169.701500381492,0,0.0124716009152762
"1","1",2000,250,"Logistic",-225.758476566357,3,0.0115940408512951,-382.430533336133,3,0.00053797772657684,156.672056769776,0,0.0110560631247183
"1","1",2000,250,"Logistic",-179.546386106417,3,0.0153650828376169,-375.050998186834,3,0.000906257973566825,195.504612080417,0,0.0144588248640501
"1","1",2000,250,"Logistic",-177.330092643821,3,0.0175904646578441,-383.326450628701,3,0.00170298688778092,205.996357984879,0,0.0158874777700632
"1","1",2000,250,"Logistic",-213.41858663081,3,0.0130762635198336,-398.673941618812,3,0.000386089416928478,185.255354988001,0,0.0126901741029051
"1","1",2000,250,"Logistic",-210.503043125726,3,0.0141229607930656,-409.044523808942,3,0.000304426858943554,198.541480683216,0,0.0138185339341221
"1","1",2000,250,"Logistic",-174.643682198602,3,0.0112395709687142,-367.339947999906,3,0.000377305838555486,192.696265801304,0,0.0108622651301587
"1","1",2000,250,"Logistic",-203.25193531479,3,0.0128898657885513,-422.773945852836,3,0.00104767886097529,219.522010538046,0,0.011842186927576
"1","1",2000,250,"Logistic",-222.532941787779,3,0.0110721854852741,-389.239005857089,3,0.000598390082225277,166.70606406931,0,0.0104737954030488
"1","1",2000,250,"Logistic",-181.451503873191,3,0.0135993824441129,-389.013276499145,3,0.000506906452134989,207.561772625954,0,0.0130924759919779
"1","1",2000,250,"Logistic",-228.576023132404,3,0.0103768556119059,-396.390951376168,3,0.000857627908692961,167.814928243764,0,0.00951922770321296
"1","1",2000,250,"Logistic",-266.880672570269,3,0.01128610793236,-412.433386770762,3,0.00120876586967152,145.552714200493,0,0.0100773420626884
"1","1",2000,250,"Logistic",-265.870979348606,3,0.010286845857124,-410.05507081793,3,0.0010265725437709,144.184091469324,0,0.00926027331335313
"1","1",2000,250,"Logistic",-233.169612164426,3,0.0126481992278075,-418.609980498618,3,0.0010459586939953,185.440368334191,0,0.0116022405338122
"1","1",2000,250,"Logistic",-196.77608065817,3,0.0170589989289814,-421.11322302641,3,0.000607456733323885,224.33714236824,0,0.0164515421956575
"1","1",2000,250,"Logistic",-191.409132627364,3,0.0151066040937401,-419.954675649798,3,0.000694124046143276,228.545543022434,0,0.0144124800475968
"1","1",2000,250,"Logistic",-237.756746459654,3,0.0123007635400644,-417.29246984447,3,0.00191770207941834,179.535723384816,0,0.010383061460646
"1","1",2000,250,"Logistic",-196.485724360593,3,0.0143235062166738,-409.295750677492,3,0.00018510331434035,212.810026316899,0,0.0141384029023334
"1","1",2000,250,"Logistic",-193.329139613996,3,0.014345917374751,-380.955851751596,3,0.00141689701628776,187.6267121376,0,0.0129290203584633
"1","1",2000,250,"Logistic",-139.958750573658,3,0.0197118610942263,-386.735581687197,3,0.00221182715115053,246.776831113538,0,0.0175000339430758
"1","1",2000,250,"Logistic",-149.933368978011,3,0.0163162479524636,-396.411035001548,3,0.0003673858016478,246.477666023536,0,0.0159488621508158
"1","1",2000,250,"Logistic",-177.47960869754,3,0.0142220973256394,-362.545070295872,3,0.00160210714157294,185.065461598332,0,0.0126199901840665
"1","1",2000,250,"Logistic",-204.322894937948,3,0.016615780224521,-425.858393636355,3,0.000927693254445981,221.535498698407,0,0.015688086970075
"1","1",2000,250,"Logistic",-196.577889567511,3,0.0116750118756455,-380.955573651615,3,0.000804536619912397,184.377684084104,0,0.0108704752557331
"1","1",2000,250,"Logistic",-192.507611686266,3,0.0176567933869096,-360.432879599537,3,0.00152092195820659,167.925267913272,0,0.016135871428703
"1","1",2000,250,"Logistic",-262.133756928662,3,0.00898095038601486,-391.024180581793,3,0.00175795491970397,128.890423653132,0,0.0072229954663109
"1","1",2000,250,"Logistic",-197.040887275173,3,0.0147269602386357,-450.579875079028,3,0.00144095062426555,253.538987803855,0,0.0132860096143701
"1","1",2000,250,"Logistic",-212.429083651275,3,0.0151070070375538,-407.068104829366,3,0.00079389271827711,194.639021178091,0,0.0143131143192767
"1","1",2000,250,"Logistic",-206.898466305745,3,0.0126160933417305,-394.83207206697,3,0.000477362487227347,187.933605761226,0,0.0121387308545032
"1","1",2000,250,"Logistic",-214.941702273566,3,0.0141918519773389,-426.484066083678,3,0.000387637035015956,211.542363810112,0,0.0138042149423229
"1","1",2000,250,"Logistic",-182.583274498669,3,0.0151162210274879,-424.710136644992,3,0.00101246173342401,242.126862146323,0,0.0141037592940639
