"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diff"
"1","1",2000,250,"Quintic",-46.8734935160749,4,0.0266586320855811,-315.521236016561,4,0.00146210636050747,268.647742500486,0,0.0251965257250737
"1","1",2000,250,"Quintic",-220.897298655878,4,0.0100619237376144,-356.229914854887,4,0.00196495891580044,135.332616199008,0,0.00809696482181396
"1","1",2000,250,"Quintic",7.9928178316214,4,0.0428156279871279,-310.418731332924,4,0.00247974506584074,318.411549164546,0,0.0403358829212871
"1","1",2000,250,"Quintic",-38.8089521007399,4,0.0341403628268592,-330.973698671704,4,0.00364589682261184,292.164746570964,0,0.0304944660042474
"1","1",2000,250,"Quintic",21.6228662841419,4,0.0441246821682306,-304.135385648884,4,0.00398303839654833,325.758251933026,0,0.0401416437716823
"1","1",2000,250,"Quintic",-145.872194992276,4,0.0148439442514988,-361.447027380052,4,0.00140825475561735,215.574832387775,0,0.0134356894958814
"1","1",2000,250,"Quintic",-197.862204418468,4,0.0102157908970959,-332.00486050594,4,0.00162080210501356,134.142656087472,0,0.0085949887920823
"1","1",2000,250,"Quintic",-129.791840153514,4,0.0238297975525144,-294.375236437317,4,0.00372774015747013,164.583396283803,0,0.0201020573950443
"1","1",2000,250,"Quintic",26.3153019778413,4,0.0479074333421221,-248.309602744306,4,0.00756345724659131,274.624904722147,0,0.0403439760955308
"1","1",2000,250,"Quintic",89.742114164817,4,0.0714000275060684,-352.070892182852,4,0.00201618039905767,441.813006347669,0,0.0693838471070107
"1","1",2000,250,"Quintic",-98.9488648233833,4,0.0224567871885544,-261.224207547825,4,0.0047438120060931,162.275342724442,0,0.0177129751824613
"1","1",2000,250,"Quintic",-230.018487681478,4,0.00975517458051288,-372.238293564182,4,0.00167856903878647,142.219805882704,0,0.00807660554172641
"1","1",2000,250,"Quintic",-25.9996749459209,4,0.0362397818400359,-334.924130198182,4,0.00382867521881865,308.924455252261,0,0.0324111066212172
"1","1",2000,250,"Quintic",-113.538489954993,4,0.0256603752121464,-300.96161043676,4,0.00488222885500047,187.423120481767,0,0.020778146357146
"1","1",2000,250,"Quintic",-27.4837133002702,4,0.0345386409947929,-323.030353635664,4,0.00252138094514483,295.546640335394,0,0.0320172600496481
