"generator_index","generator_sample_index","bic_diff_mean","bic_a1_mean","bic_a2_mean","p_diff_mean","p_a1_mean","p_a2_mean","nknots_a1_mean","nknots_a2_mean","nknots_diff_mean","n_mean","m_mean","bic_diff_median","bic_a1_median","bic_a2_median","p_diff_median","p_a1_median","p_a2_median","nknots_a1_median","nknots_a2_median","nknots_diff_median","n_median","m_median","bic_diff_sd","bic_a1_sd","bic_a2_sd","p_diff_sd","p_a1_sd","p_a2_sd","nknots_a1_sd","nknots_a2_sd","nknots_diff_sd","n_sd","m_sd"
"1","1",241.913281072811,-75.0085190527422,-316.921800125553,0.0239929725033355,0.0268870779811717,0.00289410547783621,4,3.996,0.004,250,2000,235.571008660488,-79.5165852933177,-318.649453386165,0.0210222379797245,0.0240064718995382,0.00256551746459037,4,4,0,250,2000,77.5970972490379,81.3003569711524,29.8784320593334,0.0134678765474396,0.0138496010033475,0.00144081164247568,0,0.0631505185092568,0.0631505185092568,0,0
"2","1",72.9005744585312,-290.750227542542,-363.650802001073,0.00376150505192577,0.00444106029491183,0.000679555242986065,3.692,3.283,0.409,250,2000,73.1151023091872,-289.579147390327,-363.642159419582,0.00379249066202327,0.00445968542437428,0.000607451485656542,4,3,1,250,2000,22.682583268691,25.7780359665731,22.2043160723072,0.00115241052765589,0.00114857150420166,0.000380167724304524,0.709675728512424,0.468113373158822,0.851142434286673,0,0
"3","1",7.3488875158205,-358.229145709464,-365.578033225284,0.000138380150954281,0.000841167764184626,0.000702787613230345,2.754,2.1,0.654,250,2000,2.80771545529828,-357.466662246658,-365.643517644279,1.49077798716757e-18,0.000794688752711053,0.000642404612789934,3,2,1,250,2000,9.39248150958671,23.5409927943889,22.1499057082306,0.000293164169724261,0.00040682275961567,0.000363762610392021,1.35695443008427,0.964847620575877,0.793040297155771,0,0
"4","1",31.2967828783212,-324.429090125749,-355.72587300407,0.00131391643253153,0.00227829880182129,0.000964382369289766,3.658,3.232,0.426,250,2000,19.3764848447349,-331.765219522141,-355.044187694409,0.00061228753413047,0.00161839647037845,0.000865789312683476,4,3,0,250,2000,33.3631016292069,41.9330990046855,23.1738167171027,0.00180834821853482,0.00196731687529205,0.00048251217835054,0.520871680270014,0.590359656924933,0.592346921047856,0,0
