"generator_index","generator_sample_index","n","gen_fn","bic_a0","nknots_a0","mse_a0","mse_a0_uniform_x","bic_a1","nknots_a1","mse_a1","mse_a1_uniform_x","bic_diff","mse_diff","mse_diff_uniform_x","nknots_diff"
"1","1",250,"Yield-Loss",-390.764400521053,1,0.000144293845028002,0.000455571600793493,-390.764400521053,1,0.000144293845028002,0.000455571600793493,0,0,0,0
"1","1",250,"Yield-Loss",-387.322834716929,1,0.000190153033249415,0.000884047878554094,-387.322834716929,1,0.000190153033249415,0.000884047878554094,0,0,0,0
"1","1",250,"Yield-Loss",-422.56115235629,1,0.000133421503504618,0.000301974889594925,-422.56115235629,1,0.000133421503504618,0.000301974889594926,0,-5.42101086242752e-19,-1.13841228110978e-18,0
"1","1",250,"Yield-Loss",-384.523337738337,2,0.00018151842851283,0.000203752570685542,-384.523337738337,2,0.00018151842851283,0.000203752570685542,0,0,0,0
"1","1",250,"Yield-Loss",-415.079573333484,1,0.000156098184189776,0.000339586948114597,-415.079573333484,1,0.000156098184189776,0.000339586948114597,0,0,0,0
"1","1",250,"Yield-Loss",-372.164899402932,1,0.000138667797307959,0.000542146598066007,-372.164899402932,1,0.000138667797307959,0.000542146598066007,0,0,0,0
"1","1",250,"Yield-Loss",-395.960698342082,1,0.0001562531820803,0.000524130572551721,-395.960698342082,1,0.0001562531820803,0.000524130572551721,0,0,0,0
"1","1",250,"Yield-Loss",-431.729175938381,1,0.000181939393255958,0.000212987492336455,-431.729175938381,1,0.000181939393255958,0.000212987492336455,0,0,0,0
"1","1",250,"Yield-Loss",-434.704437445654,1,0.000146662226739864,0.000187838583872092,-434.704437445654,1,0.000146662226739864,0.000187838583872092,0,0,0,0
"1","1",250,"Yield-Loss",-432.57239694502,1,0.000422128435124075,0.00190255465457479,-432.57239694502,1,0.000422128435124071,0.00190255465457479,0,3.41523684332934e-18,4.33680868994202e-18,0
"1","1",250,"Yield-Loss",-437.832352323779,1,0.000159906010074363,0.000487129098326614,-437.832352323779,1,0.000159906010074362,0.000487129098326615,1.13686837721616e-13,2.16840434497101e-19,-5.42101086242752e-19,0
"1","1",250,"Yield-Loss",-432.318840047442,1,0.000133865829420547,0.000366976539221534,-432.318840047442,1,0.000133865829420547,0.000366976539221534,0,0,0,0
"1","1",250,"Yield-Loss",-382.084005963298,1,0.000194620140561602,0.00111129458498362,-382.084005963298,1,0.000194620140561602,0.00111129458498362,0,0,0,0
"1","1",250,"Yield-Loss",-410.301312657517,1,0.000180054561833417,0.000479915628269652,-410.301312657517,1,0.000180054561833417,0.000479915628269652,0,0,0,0
"1","1",250,"Yield-Loss",-391.710085766418,1,7.37879883109548e-05,0.000166211994029304,-391.710085766418,1,7.37879883109548e-05,0.000166211994029304,0,0,0,0
"1","1",250,"Yield-Loss",-415.562783856632,1,0.000194502404176571,0.000424535906858642,-415.562783856632,1,0.000194502404176571,0.000424535906858642,0,0,0,0
"1","1",250,"Yield-Loss",-395.985796350308,1,0.00051130190789222,0.000600458093228752,-395.985796350308,1,0.00051130190789222,0.000600458093228752,0,0,0,0
"1","1",250,"Yield-Loss",-443.157661469176,1,0.000402244016661631,0.00167138389619087,-443.157661469176,1,0.000402244016661631,0.00167138389619087,0,0,0,0
"1","1",250,"Yield-Loss",-420.085133332996,3,0.000422244343910048,0.000720813192893131,-420.085133332996,3,0.000422244343910049,0.00072081319289313,0,-1.0842021724855e-18,9.75781955236954e-19,0
"1","1",250,"Yield-Loss",-429.315447790419,2,0.000112719335709523,0.00128714100007648,-429.438260336885,1,0.000201621153300167,0.00023098985753833,0.122812546465582,-8.89018175906442e-05,0.00105615114253815,1
"1","1",250,"Yield-Loss",-419.38768702705,1,6.69898221785584e-05,0.000255371517250137,-419.38768702705,1,6.69898221785584e-05,0.000255371517250137,0,0,0,0
"1","1",250,"Yield-Loss",-444.569670275341,1,0.000102318065373185,0.000266016592892596,-444.569670275341,1,0.000102318065373185,0.000266016592892596,0,0,0,0
"1","1",250,"Yield-Loss",-412.184769846074,1,0.000102353664400597,0.000246694524032893,-412.184769846074,1,0.000102353664400597,0.000246694524032893,0,0,0,0
"1","1",250,"Yield-Loss",-406.259402443191,1,0.000162916994822832,0.000136745070551693,-406.259402443191,1,0.000162916994822832,0.000136745070551693,0,0,0,0
"1","1",250,"Yield-Loss",-405.018838043423,1,8.12903438999779e-05,0.000330756113084552,-405.018838043423,1,8.12903438999779e-05,0.000330756113084552,0,0,0,0
"1","1",250,"Yield-Loss",-433.439229813968,1,0.000181324428191471,0.000949865842794111,-433.439229813968,1,0.000181324428191471,0.000949865842794111,0,0,0,0
"1","1",250,"Yield-Loss",-420.364809477508,2,0.000178708464280666,0.000247084439312002,-420.364809477508,2,0.000178708464280666,0.000247084439312002,0,0,0,0
"1","1",250,"Yield-Loss",-427.28550890658,1,0.000105087983082569,0.000182622078679138,-427.28550890658,1,0.000105087983082569,0.000182622078679138,0,0,0,0
"1","1",250,"Yield-Loss",-440.353598377054,3,0.000322443180325358,0.00241928906506713,-441.773832704062,2,0.000128874852072301,0.00105915548161961,1.42023432700813,0.000193568328253057,0.00136013358344752,1
"1","1",250,"Yield-Loss",-451.512920195889,3,0.000701530406972383,0.00184040166571637,-451.512920195889,3,0.000701530406972387,0.00184040166571637,0,-4.33680868994202e-18,-6.50521303491303e-18,0
"1","1",250,"Yield-Loss",-449.912598819222,1,0.000159149845149336,0.000254745494860575,-449.912598819222,1,0.000159149845149336,0.000254745494860575,0,0,0,0
"1","1",250,"Yield-Loss",-405.689369294439,2,0.000244912645427715,0.00015715442997123,-405.689369294439,2,0.000244912645427715,0.00015715442997123,0,0,0,0
"1","1",250,"Yield-Loss",-427.189622817152,1,0.0002267965049319,0.000760463958763175,-427.189622817152,1,0.0002267965049319,0.000760463958763175,0,0,0,0
"1","1",250,"Yield-Loss",-431.899177040872,1,0.000568976911196115,0.00134434964911183,-431.899177040872,1,0.000568976911196115,0.00134434964911183,0,0,0,0
"1","1",250,"Yield-Loss",-401.341413860497,1,0.000246461264265349,0.000364969201407279,-401.341413860497,1,0.000246461264265349,0.000364969201407279,0,0,0,0
"1","1",250,"Yield-Loss",-436.549906314414,2,0.000287106080746901,0.000449575536199084,-436.549906314414,2,0.000287106080746901,0.000449575536199084,0,0,0,0
"1","1",250,"Yield-Loss",-417.33849312685,1,0.000108763964704243,0.000374731691392969,-417.33849312685,1,0.000108763964704243,0.000374731691392968,0,4.20128341838133e-19,1.40946282423116e-18,0
"1","1",250,"Yield-Loss",-462.232137266866,2,0.000374591341531618,0.000561088653586459,-462.232137266866,2,0.000374591341531618,0.000561088653586459,0,0,0,0
"1","1",250,"Yield-Loss",-441.14558367936,1,0.000168627723025899,0.000272316112411065,-441.14558367936,1,0.000168627723025899,0.000272316112411065,0,0,0,0
"1","1",250,"Yield-Loss",-394.590089830138,2,7.56310807555385e-05,0.000188301051776095,-394.590089830138,2,7.56310807555385e-05,0.000188301051776095,0,0,0,0
"1","1",250,"Yield-Loss",-418.250419057611,1,0.000276423426346813,0.000369924444358857,-418.250419057611,1,0.000276423426346813,0.000369924444358857,0,0,0,0
"1","1",250,"Yield-Loss",-399.375636691246,1,0.000343950218297485,0.000722519614344138,-399.375636691246,1,0.000343950218297485,0.000722519614344138,0,0,0,0
"1","1",250,"Yield-Loss",-447.330266506489,2,0.000353295946718776,0.000945995545592482,-447.330266506489,2,0.000353295946718776,0.000945995545592482,0,0,0,0
"1","1",250,"Yield-Loss",-442.208382481574,2,0.000158784578183781,0.000288130873968891,-442.786133258001,1,0.000181581455442791,0.000942388096588435,0.577750776426797,-2.27968772590103e-05,-0.000654257222619543,1
"1","1",250,"Yield-Loss",-402.209317834478,1,9.63122060600118e-05,0.000182720542797296,-402.209317834478,1,9.63122060600118e-05,0.000182720542797296,0,0,0,0
"1","1",250,"Yield-Loss",-370.325327533735,1,0.000337936595096298,0.00414250889673979,-370.325327533735,1,0.000337936595096298,0.00414250889673979,0,0,0,0
"1","1",250,"Yield-Loss",-413.404628656379,1,0.000141623831311261,0.000136234446636261,-413.404628656379,1,0.000141623831311262,0.000136234446636262,0,-2.43945488809238e-19,-1.89735380184963e-19,0
"1","1",250,"Yield-Loss",-420.370434875495,1,0.000572465554142249,0.00201266642657881,-420.370434875495,1,0.000572465554142249,0.00201266642657881,0,0,0,0
"1","1",250,"Yield-Loss",-447.054532655079,2,9.95882007660946e-05,0.000152804764437627,-447.629774896093,1,0.00012060095589209,0.000327186055936475,0.575242241013996,-2.1012755125995e-05,-0.000174381291498847,1
