"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diff"
"1","1",2000,250,"Quintic",37.5996807373701,4,0.048108900853055,-317.044904773438,4,0.00430750006405326,354.644585510808,0,0.0438014007890018
"1","1",2000,250,"Quintic",261.471299653681,4,0.139855401465568,87.9264279820449,4,0.0622686708870796,173.544871671636,0,0.0775867305784881
"1","1",2000,250,"Quintic",768.059465374274,2,1.10242721214641,193.927690487623,4,0.0969904233132967,574.131774886651,-2,1.00543678883311
"1","1",2000,250,"Quintic",0.290468839804149,4,0.0383739211128463,-249.200763478344,4,0.0096159948813604,249.491232318148,0,0.0287579262314859
"1","1",2000,250,"Quintic",43.160492993425,4,0.050233041527879,-186.24209585547,4,0.0151043153885193,229.402588848895,0,0.0351287261393597
"1","1",2000,250,"Quintic",615.229876253735,2,0.621901066532633,274.585087588429,3,0.142686751404299,340.644788665306,-1,0.479214315128334
"1","1",2000,250,"Quintic",332.403105152868,3,0.1838017443517,-18.5054476703552,4,0.0375405294362098,350.908552823223,-1,0.14626121491549
"1","1",2000,250,"Quintic",1471.5479276547,4,18.1814361343492,1168.29279738548,4,5.37107634439314,303.25513026922,0,12.8103597899561
"1","1",2000,250,"Quintic",1374.59372812433,4,12.2652785279112,691.325715626908,3,0.802458503961798,683.268012497424,1,11.4628200239494
"1","1",2000,250,"Quintic",-18.9529037363839,4,0.0394464340073639,-378.726284663688,4,0.00169219096988792,359.773380927305,0,0.037754243037476
"1","1",2000,250,"Quintic",529.104303722028,4,0.399824300350353,257.464859579531,4,0.128191938098882,271.639444142497,0,0.271632362251471
"1","1",2000,250,"Quintic",15.4299769022196,4,0.0426743527194732,-77.698052331875,4,0.0266010012654078,93.1280292340946,0,0.0160733514540654
"1","1",2000,250,"Quintic",77.3404369180957,4,0.0624392503569092,-367.045045717927,4,0.0019195650940017,444.385482636022,0,0.0605196852629075
"1","1",2000,250,"Quintic",9.35162137250704,4,0.0442244046758565,-81.3217075879918,4,0.027295553235149,90.6733289604988,0,0.0169288514407075
"1","1",2000,250,"Quintic",1056.92953785163,4,3.43545842301867,549.963027640437,3,0.454443304325232,506.966510211196,1,2.98101511869344
"1","1",2000,250,"Quintic",-0.478334595342702,4,0.0406408403527358,-392.574371671156,4,0.00162535569242445,392.096037075813,0,0.0390154846603114
"1","1",2000,250,"Quintic",2450.42408211588,4,906.246569184878,2058.70961375132,4,189.290325934286,391.714468364563,0,716.956243250592
"1","1",2000,250,"Quintic",226.624265477617,4,0.110774577131005,-107.904301807378,4,0.0247030038086557,334.528567284994,0,0.0860715733223494
"1","1",2000,250,"Quintic",102.88057797357,4,0.0643890456890028,-357.397554777423,4,0.00297356310129643,460.278132750993,0,0.0614154825877063
"1","1",2000,250,"Quintic",93.0414429077815,4,0.0658765700308138,-399.411506038275,4,0.00121181066222659,492.452948946057,0,0.0646647593685872
"1","1",2000,250,"Quintic",-17.2079173432644,4,0.0349329508186307,-278.800945339247,4,0.00756598565898504,261.593027995983,0,0.0273669651596456
"1","1",2000,250,"Quintic",1161.31630410064,4,5.16849306549536,500.237729613651,3,0.380144721146353,661.078574486994,1,4.788348344349
"1","1",2000,250,"Quintic",-23.5041860740095,4,0.0347178412221694,-359.392563048244,4,0.0021166639839468,335.888376974235,0,0.0326011772382226
"1","1",2000,250,"Quintic",1381.40912977939,4,12.555412438164,909.4118288153,4,1.90436905754176,471.997300964092,0,10.6510433806223
"1","1",2000,250,"Quintic",1009.42182344621,4,2.84078678011506,514.680042606123,4,0.388838423592183,494.741780840092,0,2.45194835652288
"1","1",2000,250,"Quintic",11.4729438985696,4,0.0429547584270732,-266.753077931608,4,0.00692279058388154,278.226021830178,0,0.0360319678431917
"1","1",2000,250,"Quintic",1071.26893916185,4,3.65164174426268,815.41790464812,3,1.33926977267162,255.851034513726,1,2.31237197159106
