"generator_index","generator_sample_index","bic_diff_mean","bic_a0_mean","bic_a1_mean","mse_diff_mean","mse_a0_mean","mse_a1_mean","mse_diff_uniform_x_mean","mse_a0_uniform_x_mean","mse_a1_uniform_x_mean","nknots_a0_mean","nknots_a1_mean","nknots_diff_mean","n_mean","bic_diff_median","bic_a0_median","bic_a1_median","mse_diff_median","mse_a0_median","mse_a1_median","mse_diff_uniform_x_median","mse_a0_uniform_x_median","mse_a1_uniform_x_median","nknots_a0_median","nknots_a1_median","nknots_diff_median","n_median","bic_diff_sd","bic_a0_sd","bic_a1_sd","mse_diff_sd","mse_a0_sd","mse_a1_sd","mse_diff_uniform_x_sd","mse_a0_uniform_x_sd","mse_a1_uniform_x_sd","nknots_a0_sd","nknots_a1_sd","nknots_diff_sd","n_sd"
"1","1",0.712742776750422,-416.51565313937,-417.228395916121,-8.67629849922459e-06,0.000294606217501734,0.000303282516000958,-4.21871964652601e-05,0.000957013723475816,0.000999200919941076,2.162,1.924,0.238,250,0,-416.404780513927,-417.142568188134,0,0.000261379149783384,0.000261379149783384,0,0.000620274937657306,0.000635281738882269,2,2,0,250,1.50920455134132,21.5288198509985,21.5235335027436,9.50184518171715e-05,0.000138393430589109,0.00016146959103079,0.000399028558712208,0.00103699651828085,0.00108287887564962,0.456259076281644,0.326246645572786,0.475192187678271,0
"2","1",12.3714172932927,-397.848676496011,-410.220093789303,0.000338443533975924,0.000900657360671241,0.000562213826695316,0.00125268376186831,0.00322807596631241,0.0019753922044441,3.368,2.934,0.434,250,11.3356916428617,-396.458330169466,-409.891682907411,0.000290484499314191,0.000833967743972991,0.000515535908107861,0.000615600964265635,0.00237036141529759,0.00131692569605811,4,3,1,250,12.2035050766574,25.0988088570445,23.207171087712,0.000401102883422232,0.000391333858547745,0.000307762793214838,0.0020445037280245,0.0028926813983021,0.00191797373582543,0.919928549983176,0.662209213228092,0.697579554222268,0
"3","1",25.7197765891843,-377.961096896889,-403.680873486073,0.000949340971083184,0.00175583704542944,0.000806496074346252,0.0045950828050834,0.00815128115446665,0.00355619834938325,3.166,2.744,0.422,250,21.1773583987698,-378.403539543842,-403.310446095333,0.000832167309848613,0.00163769619039002,0.000737238979743037,0.00332171469416506,0.00685499272247494,0.00296773293487929,4,3,1,250,25.1656683646927,31.4357801762118,23.6280492957105,0.000953306098096109,0.00093475471391901,0.000371853688022406,0.00517924119184204,0.0057396411291672,0.00267143704783912,0.969703382121872,0.554146331137025,0.707755491445558,0
"4","1",403.062963720344,80.5631247856547,-322.499838934689,0.0580144523039605,0.0633579645479866,0.00534351224402615,0.25403792663239,0.381124795317844,0.127086868685454,3.908,3.788,0.12,250,416.900643941474,106.125365410574,-347.96105863614,0.0603459420315872,0.0671884209851646,0.00280052743606544,0.269586270885181,0.369310220389152,0.0266495805433389,4,4,0,250,98.1610148727867,87.4847322159604,79.4876690625813,0.0184498594862261,0.0192358676976126,0.00554465599344766,0.171302076000586,0.192894651194864,0.19954958236317,0.404800849128198,0.409134185278041,0.567665825092506,0
