"generator_index","generator_sample_index","bic_diff_mean","bic_a0_mean","bic_a1_mean","mse_diff_mean","mse_a0_mean","mse_a1_mean","mse_diff_uniform_x_mean","mse_a0_uniform_x_mean","mse_a1_uniform_x_mean","nknots_a0_mean","nknots_a1_mean","nknots_diff_mean","n_mean","bic_diff_median","bic_a0_median","bic_a1_median","mse_diff_median","mse_a0_median","mse_a1_median","mse_diff_uniform_x_median","mse_a0_uniform_x_median","mse_a1_uniform_x_median","nknots_a0_median","nknots_a1_median","nknots_diff_median","n_median","bic_diff_sd","bic_a0_sd","bic_a1_sd","mse_diff_sd","mse_a0_sd","mse_a1_sd","mse_diff_uniform_x_sd","mse_a0_uniform_x_sd","mse_a1_uniform_x_sd","nknots_a0_sd","nknots_a1_sd","nknots_diff_sd","n_sd"
"1","1",0.399474880765862,-422.202110978985,-422.601585859751,-6.37851034556035e-07,0.000235338419638249,0.000235976270672805,1.92808176473913e-06,0.000902891345884269,0.000900963264119529,1.25,1.27,-0.02,250,0,-421.966275538748,-422.530423867316,0,0.000196046249525924,0.000196474554777187,0,0.00049960594754336,0.000505576714982085,1,1,0,250,0.737092798670177,21.4531738796862,21.4764918097572,5.19999374903294e-05,0.000141495580918266,0.000147362402316366,0.000192117984701742,0.0010816882350801,0.00107622418352624,0.505976307793256,0.541929307889414,0.357569170123552,0
"2","1",16.2104498871625,-397.848676496011,-414.059126383173,0.000510125966583837,0.000900657360671241,0.000390531394087404,0.00190236748768222,0.00322807596631241,0.00132570847863019,3.368,3.158,0.21,250,13.8897892499874,-396.458330169466,-413.515517594296,0.000457817594834268,0.000833967743972995,0.000350006268778995,0.00128196620740894,0.00237036141529757,0.000856707324548317,4,3,0,250,12.2517455647913,25.0988088570445,23.0463618781593,0.00039378507221719,0.000391333858547745,0.000215709524984469,0.00228000159842466,0.00289268139830211,0.00143871099588402,0.919928549983176,0.519206269512032,0.898618400690816,0
"3","1",2.06630793368866,-415.630878081007,-417.697186014696,-6.06884044658367e-06,0.000292871607659233,0.000298940448105817,-4.73987781099921e-05,0.000991707987969147,0.00103910676607914,2.152,1.972,0.18,250,1.6450810353443,-415.481895590307,-416.626728803361,0,0.000257141600953458,0.000263530455242789,0,0.000581429932110884,0.000618735391235239,2,2,0,250,2.53696249029131,22.3852377361081,22.3827694869075,0.000132161618355242,0.000154244843804989,0.000172659156749124,0.000565382056933974,0.00108228223601102,0.00113667956622372,0.49130312182504,0.451246325739042,0.533074419451306,0
"4","1",32.4231932996057,-379.222751995962,-411.645945295568,0.00127879733610165,0.00174867924420368,0.000469881908102036,0.00652830349787381,0.008332058698642,0.00180375520076818,3.122,2.994,0.128,250,30.7658099863601,-377.942274896368,-412.779357352968,0.00122897124751901,0.00165816388334693,0.000437813297676366,0.00564772018600315,0.00749530210812711,0.00130164057043171,4,3,0,250,24.4212592000939,31.2216714891913,23.2387328338106,0.000936878333209397,0.00092742670342192,0.000210852993289916,0.00527236860308338,0.00572984759264213,0.00153786170898334,0.972114197007763,0.407794792985851,0.945199876011007,0
"5","1",427.292781601895,81.7444524952301,-345.548329106664,0.0598452710422806,0.0637404619776762,0.00389519093539553,0.303780417950259,0.382546537369649,0.0787661194193907,3.878,3.94,-0.062,250,447.929482260068,107.106252905139,-367.858983754357,0.0632818742739822,0.0670664918669796,0.00194706784303954,0.316112768691515,0.362759171267987,0.0148922204261506,4,4,0,250,96.3505002263433,91.0092069993533,69.4008762134104,0.0182959251964347,0.0189532047079536,0.00459422400982282,0.182025735605241,0.194735429732336,0.1619134714182,0.459933775837688,0.23772468540752,0.480226232591409,0
