"generator_index","generator_sample_index","bic_diff_mean","bic_a1_mean","bic_a2_mean","p_diff_mean","p_a1_mean","p_a2_mean","nknots_a1_mean","nknots_a2_mean","nknots_diff_mean","n_mean","m_mean","bic_diff_median","bic_a1_median","bic_a2_median","p_diff_median","p_a1_median","p_a2_median","nknots_a1_median","nknots_a2_median","nknots_diff_median","n_median","m_median","bic_diff_sd","bic_a1_sd","bic_a2_sd","p_diff_sd","p_a1_sd","p_a2_sd","nknots_a1_sd","nknots_a2_sd","nknots_diff_sd","n_sd","m_sd"
"1","1",156.809524671897,172.969183370061,16.1596586981637,0.14738695328115,0.448385926764975,0.300998973483825,2.945,2.509,0.436,250,2000,155.423513425706,186.029586776949,2.65010950125773,0.0121313851416138,0.0258457354631669,0.0117297254968279,3,3,0,250,2000,82.6057896725888,286.281920459931,278.997160613258,2.51442819089323,7.92257555044519,5.87976700388128,0.319495034510831,0.54792263981261,0.534967466478281,0,0
"2","1",201.848384263941,-198.665308837709,-400.513693101649,0.0130425275413493,0.0139652024055869,0.000922674864237655,2.996,3,-0.004,250,2000,202.70353345165,-198.266162446712,-400.898685219924,0.01304496300224,0.0139684193725953,0.000821771969810536,3,3,0,250,2000,37.9878988723091,31.2750806786154,25.1754041336358,0.00261734752311658,0.00251907772155443,0.000512987459527167,0.0893979417659713,0,0.0893979417659713,0,0
"3","1",80.1063762088916,-310.47102746819,-390.577403677082,0.0037725994145409,0.00471647167692707,0.000943872262386163,3,2.851,0.149,250,2000,80.3513794735014,-308.773603930356,-390.257383146722,0.00376095763878762,0.00467146584620965,0.000861201692568403,3,3,0,250,2000,26.8091081864987,27.7833189062359,25.8813430914918,0.00104571566923922,0.00107033990071429,0.000500376755451668,0,0.356266650033266,0.356266650033266,0,0
"4","1",302.397584267306,148.239815021455,-154.157769245851,0.0459197458142213,0.0540597247019041,0.00813997888768288,3,3,0,250,2000,305.599770614328,157.199403686326,-158.943956444462,0.0459842407723475,0.0535148456263188,0.00754788284146479,3,3,0,250,2000,66.2318859696769,56.0987053522017,57.2267950424042,0.0175286021988597,0.0177599195137552,0.00296454877352242,0,0,0,0,0
