"generator_index","generator_sample_index","bic_diff_mean","bic_a1_mean","bic_a2_mean","p_diff_mean","p_a1_mean","p_a2_mean","nknots_a1_mean","nknots_a2_mean","nknots_diff_mean","n_mean","m_mean","bic_diff_median","bic_a1_median","bic_a2_median","p_diff_median","p_a1_median","p_a2_median","nknots_a1_median","nknots_a2_median","nknots_diff_median","n_median","m_median","bic_diff_sd","bic_a1_sd","bic_a2_sd","p_diff_sd","p_a1_sd","p_a2_sd","nknots_a1_sd","nknots_a2_sd","nknots_diff_sd","n_sd","m_sd"
"1","1",241.913281072811,-75.0085190527422,-316.921800125553,0.0239929725033355,0.0268870779811717,0.00289410547783621,4,3.996,0.004,250,2000,235.571008660488,-79.5165852933177,-318.649453386166,0.0210222379797245,0.0240064718995382,0.00256551746459036,4,4,0,250,2000,77.5970972490379,81.3003569711524,29.8784320593334,0.0134678765474396,0.0138496010033475,0.00144081164247568,0,0.0631505185092568,0.0631505185092568,0,0
"2","1",72.9005744585312,-290.750227542542,-363.650802001073,0.00376150505192577,0.00444106029491183,0.000679555242986065,3.692,3.283,0.409,250,2000,73.1151023091872,-289.579147390327,-363.642159419582,0.00379249066202327,0.00445968542437428,0.000607451485656544,4,3,1,250,2000,22.682583268691,25.7780359665731,22.2043160723072,0.00115241052765589,0.00114857150420166,0.000380167724304525,0.709675728512424,0.468113373158822,0.851142434286673,0,0
"3","1",31.2150425038804,-326.231637859505,-357.446680363385,0.00132333510258891,0.00222759084857478,0.000904255745985869,3.633,3.232,0.401,250,2000,18.9146847896035,-332.219549360052,-357.889195463979,0.0006407667810645,0.0015823693254248,0.000819001925597283,4,3,0,250,2000,35.6580841709725,44.0479166366488,22.7063816692043,0.00201922612172679,0.00217573467894383,0.000462013448872112,0.527815867125638,0.585250816760232,0.602130850863466,0,0
