"generator_index","generator_sample_index","bic_diff_mean","bic_a1_mean","bic_a2_mean","p_diff_mean","p_a1_mean","p_a2_mean","nknots_a1_mean","nknots_a2_mean","nknots_diff_mean","n_mean","m_mean","bic_diff_median","bic_a1_median","bic_a2_median","p_diff_median","p_a1_median","p_a2_median","nknots_a1_median","nknots_a2_median","nknots_diff_median","n_median","m_median","bic_diff_sd","bic_a1_sd","bic_a2_sd","p_diff_sd","p_a1_sd","p_a2_sd","nknots_a1_sd","nknots_a2_sd","nknots_diff_sd","n_sd","m_sd"
"1","1",200.356686102937,-199.697165672915,-400.053851775852,0.0131017474967864,0.014010302687341,0.000908555190554628,3,3,0,250,2000,201.302140218656,-199.237545896282,-400.270113305085,0.0130891498010489,0.0139499322598255,0.000819563276110487,3,3,0,250,2000,35.8723672184288,32.0853255363738,24.0183045380097,0.00247288319990168,0.00238354607612091,0.000509147384072444,0,0,0,0,0
"2","1",79.6223097562449,-310.729057204758,-390.351366961002,0.00373313094737729,0.00466158673861782,0.000928455791240529,3,2.85,0.15,250,2000,80.0197318614657,-309.663605957106,-391.989911532373,0.00372934760845194,0.00467813607724776,0.000856092922399461,3,3,0,250,2000,27.3100571422267,28.3421150543147,26.949504426648,0.00103429529817074,0.00108387440644346,0.000452482723659831,0,0.357250091151322,0.357250091151322,0,0
"3","1",246.707257719246,292.212605340992,45.5053476217456,0.114792530949833,0.138903293818663,0.0241107628688306,2.995,3,-0.005,250,2000,261.800539411084,293.966282943486,33.44933927669,0.120278463064037,0.139189474098767,0.0156897339607049,3,3,0,250,2000,108.665786674733,34.4805116772942,109.406805558859,0.0336301345927206,0.0268662880669292,0.0249279464044501,0.0705689732104696,0,0.0705689732104696,0,0
"4","1",65.1807001265478,-224.095271515571,-289.275971642119,0.00570054044510116,0.0118679876775503,0.00616744723244918,3,3,0,250,2000,60.7809426544751,-229.23265645188,-293.268055801491,0.00446502133249064,0.0104555807102131,0.00570166011997332,3,3,0,250,2000,75.373347938608,71.2614526078935,42.7988913810392,0.00717026343836706,0.00680407451717595,0.00280969460511545,0,0,0,0,0
