"generator_index","generator_sample_index","bic_diff_mean","bic_a0_mean","bic_a1_mean","mse_diff_mean","mse_a0_mean","mse_a1_mean","mse_diff_uniform_x_mean","mse_a0_uniform_x_mean","mse_a1_uniform_x_mean","nknots_a0_mean","nknots_a1_mean","nknots_diff_mean","n_mean","bic_diff_median","bic_a0_median","bic_a1_median","mse_diff_median","mse_a0_median","mse_a1_median","mse_diff_uniform_x_median","mse_a0_uniform_x_median","mse_a1_uniform_x_median","nknots_a0_median","nknots_a1_median","nknots_diff_median","n_median","bic_diff_sd","bic_a0_sd","bic_a1_sd","mse_diff_sd","mse_a0_sd","mse_a1_sd","mse_diff_uniform_x_sd","mse_a0_uniform_x_sd","mse_a1_uniform_x_sd","nknots_a0_sd","nknots_a1_sd","nknots_diff_sd","n_sd"
"1","1",0.729161093269571,-417.475334514762,-418.204495608032,-8.27085803073132e-06,0.000322896701739666,0.000331167559770398,-3.85341090595803e-05,0.000954690714526515,0.000993224823586095,2.17,1.926,0.244,250,1.13686837721616e-13,-417.138464129097,-418.445570563984,9.48676900924816e-19,0.000291786721045916,0.000290694540510277,-3.41523684332934e-18,0.000617757304723959,0.000639760539608578,2,2,0,250,1.51682498851317,21.5494177500006,21.5306094834202,9.13455486456291e-05,0.00013675553599236,0.000160056044273681,0.000371948940865386,0.00104309349331405,0.00107446207845031,0.46208987665628,0.323625504146178,0.486762648270698,0
"2","1",12.2357897910286,-398.220622134608,-410.456411925637,0.000337800579244665,0.000906583015133579,0.000568782435888913,0.00124810029249108,0.0032321811932399,0.00198408090074881,3.366,2.942,0.424,250,11.3248808939819,-396.782565116399,-410.259153929893,0.000287123167905059,0.000839276362656552,0.00051539634790191,0.000594458414116967,0.00239792066506542,0.00133670607682404,4,3,0.5,250,12.1431607327806,25.1161284027561,23.3449744223576,0.000399516776837172,0.000392725309548773,0.000308275618229186,0.002029261539335,0.00288827657894639,0.00190718818805345,0.921815321511824,0.671966575177897,0.682022220031895,0
"3","1",25.74257275776,-378.239285376146,-403.981858133906,0.000943951561840614,0.00175913754663181,0.000815185984791195,0.00457642725454823,0.0081486592826501,0.00357223202810187,3.166,2.748,0.418,250,20.8892333994665,-379.115776612897,-403.472074089495,0.000813162561546731,0.00163433939707599,0.000746247754112063,0.00311834771263189,0.0068272830278678,0.00295775412912877,4,3,1,250,25.159109454364,31.4098644004349,23.7214834346337,0.000953843319651694,0.000935241372489434,0.00037832383271369,0.00518836023754878,0.00573818388535378,0.00270225271817616,0.969703382121872,0.563143197171947,0.715751773453901,0
"4","1",404.193713337778,80.3601913651009,-323.833521972677,0.0580034230761147,0.063386136000658,0.00538271292454331,0.255006289738214,0.3810661591625,0.126059869424286,3.908,3.786,0.122,250,422.294552803546,106.854987417487,-349.425908794918,0.0603227613658604,0.0672387264670617,0.00283684151799678,0.271964581177685,0.368565401595291,0.0263336435717148,4,4,0,250,100.185458529243,87.6490698352627,81.16754247224,0.0185830330533288,0.0192355727066142,0.00572735662903067,0.173183385591402,0.192927576489729,0.200272363972307,0.404800849128198,0.410537552684683,0.55473548915303,0
