"generator_index","generator_sample_index","bic_diff_mean","bic_a1_mean","bic_a2_mean","p_diff_mean","p_a1_mean","p_a2_mean","nknots_a1_mean","nknots_a2_mean","nknots_diff_mean","n_mean","m_mean","bic_diff_median","bic_a1_median","bic_a2_median","p_diff_median","p_a1_median","p_a2_median","nknots_a1_median","nknots_a2_median","nknots_diff_median","n_median","m_median","bic_diff_sd","bic_a1_sd","bic_a2_sd","p_diff_sd","p_a1_sd","p_a2_sd","nknots_a1_sd","nknots_a2_sd","nknots_diff_sd","n_sd","m_sd"
"1","1",0.6345189487456,-416.32528560633,-416.959804555076,-1.39697005774097e-05,0.000297111227915816,0.000311080928493226,2.167,1.926,0.241,250,2000,1.13686837721616e-13,-416.42864500775,-416.870720489544,2.71050543121376e-19,0.000260956920898614,0.000262680082030726,2,2,0,250,2000,1.47981247499655,22.3616483198185,22.3482702317724,9.82004675555957e-05,0.000150176202413486,0.000178875107781817,0.470459703197131,0.341526925205965,0.49311475557132,0,0
"2","1",13.667811671302,-396.609586972763,-410.277398644065,0.000375503699815598,0.000932535856526934,0.000557032156711337,3.415,2.982,0.433,250,2000,12.4036397593904,-396.400010262871,-410.037465915093,0.000343352124383401,0.000858718741607575,0.00049774550566845,4,3,1,250,2000,12.711842797824,24.0166601397616,23.4472122576815,0.000407986991697255,0.000388919455159226,0.000283782857700088,0.899769184060326,0.649690771135082,0.725284107806753,0,0
"3","1",24.4231713291125,-379.902760044996,-404.325931374108,0.000917726637330023,0.00171936685026507,0.00080164021293505,3.129,2.732,0.397,250,2000,20.8513968613652,-379.662745505166,-403.93768761702,0.00078054896415033,0.00163002552609547,0.000735549644517817,4,3,1,250,2000,24.2646029897435,32.4086561360038,24.360351836556,0.000926950792677751,0.000908688271437457,0.000372272122137931,0.97432453951869,0.573153124831842,0.750969343552022,0,0
"4","1",408.678759296467,85.1563672417445,-323.522392054723,0.0593665350697227,0.0646109647286904,0.00524442965896774,3.886,3.798,0.088,250,2000,427.211937807678,109.032487753777,-347.096774208924,0.0620914550474145,0.0684378636999141,0.00285853391747095,4,4,0,250,2000,100.447796607417,87.9493042196662,77.5979914747053,0.0181138851927427,0.0188569424512119,0.00534510556346986,0.446321860548196,0.401693113405442,0.571474043664787,0,0
