"generator_index","generator_sample_index","n","gen_fn","bic_a0","nknots_a0","mse_a0","mse_a0_uniform_x","bic_a1","nknots_a1","mse_a1","mse_a1_uniform_x","bic_diff","mse_diff","mse_diff_uniform_x","nknots_diff"
"1","1",200,"runge-translated",-266.108412440758,4,0.0041819262675477,0.0225317285448234,-331.058163411139,3,0.000507591262415615,0.00369825120604457,64.9497509703814,0.00367433500513209,0.0188334773387789,1
"1","1",200,"runge-translated",-279.609516427313,2,0.00157285962884932,0.00725915842457231,-296.36658540975,3,0.0011025066996218,0.00244512863706506,16.7570689824376,0.000470352929227521,0.00481402978750725,-1
"1","1",200,"runge-translated",-261.651986270085,4,0.00308443784053049,0.0148148307471703,-345.895688562376,3,0.000724751566751753,0.00516340979060474,84.2437022922913,0.00235968627377874,0.00965142095656558,1
"1","1",200,"runge-translated",-311.920005890417,4,0.00179534883297395,0.00750241991417448,-324.42159394195,3,0.00141404537019183,0.00619043346205472,12.5015880515331,0.000381303462782125,0.00131198645211976,1
"1","1",200,"runge-translated",-326.885221035519,4,0.00159730992057014,0.00563028353729079,-348.751547122741,3,0.000720726021245045,0.00203879421364828,21.8663260872215,0.000876583899325093,0.00359148932364251,1
"1","1",200,"runge-translated",-261.597107000146,4,0.00195436467416878,0.00795575655617681,-294.339313437877,3,0.000899053495427087,0.00342554261140991,32.7422064377312,0.00105531117874169,0.00453021394476691,1
"1","1",200,"runge-translated",-338.255165493373,3,0.000427658639361308,0.00200107502341817,-344.443558516257,2,0.000606706196777763,0.00279343777835053,6.1883930228845,-0.000179047557416454,-0.000792362754932359,1
"1","1",200,"runge-translated",-288.741330169019,4,0.00138913752422258,0.00281577369317676,-306.344268739644,3,0.000511139521771493,0.000880082981162747,17.6029385706256,0.000877998002451088,0.00193569071201402,1
"1","1",200,"runge-translated",-334.498671074417,3,0.00173006084042966,0.00593094898743476,-355.302735364571,3,0.000472159580758818,0.00133102109948769,20.8040642901543,0.00125790125967084,0.00459992788794707,0
"1","1",200,"runge-translated",-282.515664390948,4,0.00128421957923382,0.00321540186724965,-294.479301276635,3,0.000504029527279739,0.00135726783652913,11.9636368856868,0.000780190051954079,0.00185813403072052,1
