"generator_index","generator_sample_index","n","gen_fn","bic_a0","nknots_a0","mse_a0","mse_a0_uniform_x","bic_a1","nknots_a1","mse_a1","mse_a1_uniform_x","bic_diff","mse_diff","mse_diff_uniform_x","nknots_diff"
"1","1",250,"Yield-Loss",-390.764400521053,1,0.000144293845028002,0.000455571600793493,-390.764400521053,1,0.000144293845028002,0.000455571600793493,0,0,0,0
"1","1",250,"Yield-Loss",-387.322834716929,1,0.000190153033249417,0.000884047878554093,-387.920678531445,1,0.000175145325117691,0.000829447484303247,0.597843814516352,1.50077081317261e-05,5.46003942508454e-05,0
"1","1",250,"Yield-Loss",-422.56115235629,1,0.000133421503504618,0.000301974889594926,-422.56115235629,1,0.000133421503504618,0.000301974889594926,0,-4.33680868994202e-19,-5.42101086242752e-19,0
"1","1",250,"Yield-Loss",-384.523337738337,2,0.00018151842851283,0.000203752570685541,-383.62759222427,3,0.000407048386065644,0.000524257647186368,-0.895745514066903,-0.000225529957552813,-0.000320505076500827,-1
"1","1",250,"Yield-Loss",-415.079573333485,1,0.000156098184189776,0.000339586948114596,-415.079573333485,1,0.000156098184189776,0.000339586948114596,0,0,0,0
"1","1",250,"Yield-Loss",-372.164899402932,1,0.000138667797307959,0.000542146598066009,-372.499289465377,1,0.000122620212255382,0.000491180964094389,0.334390062445721,1.60475850525769e-05,5.09656339716194e-05,0
"1","1",250,"Yield-Loss",-395.960698342082,1,0.0001562531820803,0.000524130572551721,-396.754007665787,1,0.0001244510767214,0.000448586013581287,0.793309323705444,3.18021053589003e-05,7.55445589704339e-05,0
"1","1",250,"Yield-Loss",-431.729175938381,1,0.000181939393255958,0.000212987492336455,-431.729175938381,1,0.000181939393255958,0.000212987492336455,0,0,0,0
"1","1",250,"Yield-Loss",-434.704437445654,1,0.000146662226739864,0.000187838583872093,-435.361099211497,1,0.000128002493847175,0.000161208147524349,0.656661765843353,1.86597328926891e-05,2.66304363477435e-05,0
"1","1",250,"Yield-Loss",-432.57239694502,1,0.000422128435124074,0.0019025546545748,-433.378408636724,1,0.000402788841086245,0.00180885042971633,0.806011691703134,1.93395940378292e-05,9.37042248584702e-05,0
"1","1",250,"Yield-Loss",-437.832352323779,1,0.000159906010074362,0.000487129098326613,-438.282777770605,1,0.00014648042779191,0.000462500684468142,0.450425446825648,1.34255822824528e-05,2.46284138584717e-05,0
"1","1",250,"Yield-Loss",-432.318840047442,1,0.000133865829420548,0.000366976539221534,-432.318840047442,1,0.000133865829420548,0.000366976539221534,0,0,0,0
"1","1",250,"Yield-Loss",-382.084005963298,1,0.000194620140561602,0.00111129458498363,-382.084005963298,1,0.000194620140561602,0.00111129458498363,0,0,0,0
"1","1",250,"Yield-Loss",-410.301312657517,1,0.000180054561833417,0.000479915628269653,-410.301312657517,1,0.000180054561833417,0.000479915628269653,0,0,0,0
