"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diff"
"1","1",2000,250,"Gaussians",-239.964926100588,3,0.0120540638716633,-379.718097025173,3,0.00249164277698926,139.753170924585,0,0.00956242109467404
"1","1",2000,250,"Gaussians",-204.428483551146,3,0.00998428329383196,-307.438688682987,3,0.00364122656964756,103.010205131841,0,0.0063430567241844
"1","1",2000,250,"Gaussians",-347.113741657285,3,0.00214241653043844,-300.993882542724,3,0.00459298024017558,-46.1198591145611,0,-0.00245056370973714
"1","1",2000,250,"Gaussians",-319.827853000272,3,0.00455286038500172,-291.657063346811,3,0.00628898886040755,-28.1707896534616,0,-0.00173612847540583
"1","1",2000,250,"Gaussians",-207.777599069131,3,0.0103253529955362,-258.019880561642,3,0.00510566316394662,50.2422814925115,0,0.00521968983158956
"1","1",2000,250,"Gaussians",-159.530016169892,3,0.0158686928266243,-257.068396673009,3,0.00729797778842282,97.5383805031173,0,0.00857071503820149
"1","1",2000,250,"Gaussians",-82.6420086261108,3,0.0274834470161746,-258.259159973799,3,0.00880639612426962,175.617151347688,0,0.018677050891905
"1","1",2000,250,"Gaussians",-71.7107214214502,3,0.0327423951702094,-316.64737243452,3,0.00382362295802807,244.93665101307,0,0.0289187722121813
"1","1",2000,250,"Gaussians",-296.181070542482,3,0.00627601070812514,-296.181070542482,3,0.00627601070812516,-3.41060513164848e-13,0,-1.82145964977565e-17
"1","1",2000,250,"Gaussians",-129.319744187849,3,0.0195776446671565,-235.602181464858,3,0.00955331975093167,106.28243727701,0,0.0100243249162248
"1","1",2000,250,"Gaussians",-189.590274184007,3,0.0145922897417629,-269.03173528271,3,0.00662669985307008,79.4414610987032,0,0.00796558988869279
"1","1",2000,250,"Gaussians",-287.442735317703,3,0.00691552986492519,-287.442735317704,3,0.00691552986492512,1.08002495835535e-12,0,7.11236625150491e-17
"1","1",2000,250,"Gaussians",-252.433963584864,3,0.0077455245594931,-237.54161573695,3,0.00909886894652638,-14.8923478479142,0,-0.00135334438703328
"1","1",2000,250,"Gaussians",-169.593330092971,3,0.0141335438993276,-254.590203542805,3,0.00704671950393865,84.9968734498336,0,0.00708682439538893
"1","1",2000,250,"Gaussians",-314.030395687272,3,0.00323782941154364,-212.197998587048,3,0.00927675001628647,-101.832397100224,0,-0.00603892060474283
"1","1",2000,250,"Gaussians",-187.200887466286,3,0.0145821370905226,-298.008778414859,3,0.00567340392916978,110.807890948572,0,0.00890873316135283
"1","1",2000,250,"Gaussians",-282.604433739736,3,0.00776463688678599,-309.49534059845,3,0.00513547122868544,26.8909068587133,0,0.00262916565810054
"1","1",2000,250,"Gaussians",-155.258230432329,3,0.0194016132187226,-263.16925279472,3,0.0086675584529995,107.911022362391,0,0.0107340547657231
"1","1",2000,250,"Gaussians",-115.838894927517,3,0.021369240991759,-315.68966933787,3,0.00575923626409485,199.850774410353,0,0.0156100047276641
"1","1",2000,250,"Gaussians",-136.505351620921,3,0.0185891316311378,-268.831933217242,3,0.00578593936929728,132.326581596321,0,0.0128031922618405
"1","1",2000,250,"Gaussians",-270.612617078119,3,0.0101589789470759,-366.578864737047,3,0.00416114633548931,95.9662476589281,0,0.00599783261158663
"1","1",2000,250,"Gaussians",-293.482850798262,3,0.00608771466712004,-318.568517456128,3,0.00410318582932085,25.0856666578658,0,0.00198452883779919
"1","1",2000,250,"Gaussians",-81.7566726998418,3,0.0291697673312532,-326.792763895755,3,0.00392270769156718,245.036091195913,0,0.025247059639686
"1","1",2000,250,"Gaussians",-208.696741664961,3,0.0146717843994424,-327.08623618106,3,0.0051483532953178,118.389494516099,0,0.00952343110412457
"1","1",2000,250,"Gaussians",-308.901886310095,3,0.00623982832098134,-308.901886310095,3,0.00623982832098129,6.82121026329696e-13,0,5.3776427755281e-17
"1","1",2000,250,"Gaussians",-235.217695351305,3,0.0101253130573714,-298.2770767287,3,0.00495542515907843,63.0593813773945,0,0.00516988789829301
"1","1",2000,250,"Gaussians",-270.633067021033,3,0.00602865452599616,-285.596485320636,3,0.0060454600399439,14.9634182996031,0,-1.68055139477498e-05
"1","1",2000,250,"Gaussians",-280.618963207111,3,0.00808732657578845,-293.557247556362,3,0.00509794363398688,12.9382843492519,0,0.00298938294180158
"1","1",2000,250,"Gaussians",-131.795452562359,3,0.0211885375145084,-342.266795329824,3,0.00285079504464962,210.471342767466,0,0.0183377424698588
"1","1",2000,250,"Gaussians",-310.049008805186,3,0.00313712173418059,-320.523802790616,3,0.00282099163328067,10.4747939854299,0,0.000316130100899918
"1","1",2000,250,"Gaussians",-231.291524949445,3,0.00885371102908213,-296.788473958372,3,0.00421819705402274,65.4969490089266,0,0.00463551397505939
"1","1",2000,250,"Gaussians",-341.643789979161,3,0.00418143715826644,-354.63693088239,3,0.0037193941238289,12.9931409032288,0,0.000462043034437533
"1","1",2000,250,"Gaussians",-246.865925753328,3,0.0080163854599333,-204.033272014045,3,0.0106665630815803,-42.8326537392828,0,-0.00265017762164702
"1","1",2000,250,"Gaussians",-78.6135567635598,3,0.0272828732109321,-300.085223281087,3,0.00435134601389032,221.471666517527,0,0.0229315271970418
"1","1",2000,250,"Gaussians",-293.707687330141,3,0.00507391229597631,-257.456563127328,3,0.00776422955660089,-36.2511242028127,0,-0.00269031726062458
"1","1",2000,250,"Gaussians",-177.136610519841,3,0.0156080387632612,-271.396006447948,3,0.00757250773030071,94.2593959281068,0,0.00803553103296045
"1","1",2000,250,"Gaussians",-203.289465191097,3,0.0123932760997269,-297.153340879424,3,0.00468317713515785,93.8638756883271,0,0.00771009896456909
"1","1",2000,250,"Gaussians",-166.356387716157,3,0.0126037365438589,-118.395813052325,3,0.0234779859997504,-47.9605746638323,0,-0.0108742494558914
"1","1",2000,250,"Gaussians",-288.646709991075,3,0.00555991924595567,-288.646709991076,3,0.00555991924595565,7.95807864051312e-13,0,2.16840434497101e-17
"1","1",2000,250,"Gaussians",-131.336426316128,3,0.0223766312426395,-256.220667650204,3,0.00812610404646348,124.884241334076,0,0.0142505271961761
"1","1",2000,250,"Gaussians",-168.144644513426,3,0.0208329165455506,-281.46299150685,3,0.00672296611931585,113.318346993424,0,0.0141099504262348
"1","1",2000,250,"Gaussians",-236.893358889531,3,0.00808095089238342,-260.424442767551,3,0.00636628595647926,23.53108387802,0,0.00171466493590416
"1","1",2000,250,"Gaussians",-354.109719118187,3,0.00436602752721007,-354.109719118187,3,0.00436602752721004,3.97903932025656e-13,0,2.34187669256869e-17
"1","1",2000,250,"Gaussians",-75.8637508207116,3,0.0263449954465977,-338.06389228443,3,0.00214905965349263,262.200141463719,0,0.0241959357931051
"1","1",2000,250,"Gaussians",-113.710648689207,3,0.0187676857093185,-254.523173796615,3,0.00519882781073663,140.812525107409,0,0.0135688578985819
"1","1",2000,250,"Gaussians",-309.787794239991,3,0.00482115491018015,-309.787794239992,3,0.00482115491018009,1.19371179607697e-12,0,6.85215773010839e-17
"1","1",2000,250,"Gaussians",-203.098205503094,3,0.0151159476209253,-286.655578575625,3,0.00688411705314127,83.557373072531,0,0.00823183056778403
"1","1",2000,250,"Gaussians",-133.854626621454,3,0.0191373132616896,-315.066189525734,3,0.00401599140625476,181.21156290428,0,0.0151213218554348
"1","1",2000,250,"Gaussians",-111.791180962711,3,0.0223824023839695,-300.805438342819,3,0.00396278653312184,189.014257380108,0,0.0184196158508477
"1","1",2000,250,"Gaussians",-156.479107326238,3,0.0201218516754328,-278.44933019413,3,0.00627152363881587,121.970222867892,0,0.0138503280366169
"1","1",2000,250,"Gaussians",-281.145443330563,3,0.00749491280614296,-281.145443330563,3,0.00749491280614299,0,0,-2.42861286636753e-17
"1","1",2000,250,"Gaussians",-199.661394135669,3,0.00892171713250661,-199.661394135668,3,0.00892171713250664,-2.8421709430404e-14,0,-3.81639164714898e-17
"1","1",2000,250,"Gaussians",-318.03497359103,3,0.00644828598832676,-254.808406620588,3,0.0114651746439952,-63.2265669704414,0,-0.00501688865566847
"1","1",2000,250,"Gaussians",-325.058734700862,3,0.00341902319561241,-294.983495576684,3,0.00575384576149369,-30.0752391241788,0,-0.00233482256588127
"1","1",2000,250,"Gaussians",-357.53712795501,3,0.00446946410472129,-345.28083349975,3,0.00507016250021338,-12.25629445526,0,-0.000600698395492093
"1","1",2000,250,"Gaussians",-162.749580032643,3,0.0204030107180659,-343.283729998355,3,0.00461817270603648,180.534149965712,0,0.0157848380120295
"1","1",2000,250,"Gaussians",-165.19517275081,3,0.0160733244100306,-281.070643742223,3,0.00600251107407847,115.875470991412,0,0.0100708133359521
"1","1",2000,250,"Gaussians",-129.5775595491,3,0.0208180458841432,-308.107609144954,3,0.00503027769308306,178.530049595854,0,0.0157877681910602
"1","1",2000,250,"Gaussians",-219.952390054464,3,0.0124659690068167,-288.677146352571,3,0.00636189184475824,68.7247562981065,0,0.00610407716205843
"1","1",2000,250,"Gaussians",-174.370942409038,3,0.0143887324106123,-174.370942409037,3,0.0143887324106124,-9.9475983006414e-13,0,-9.0205620750794e-17
"1","1",2000,250,"Gaussians",-188.936912128767,3,0.0118706137458931,-234.532248174111,3,0.00874492028038019,45.5953360453438,0,0.00312569346551292
"1","1",2000,250,"Gaussians",-242.306396882125,3,0.0106122056758098,-336.614805216589,3,0.00361343392989692,94.3084083344634,0,0.00699877174591286
"1","1",2000,250,"Gaussians",-204.209857089536,3,0.0152965305752616,-361.283406425438,3,0.00373606706420577,157.073549335902,0,0.0115604635110558
"1","1",2000,250,"Gaussians",-286.598496636535,3,0.00633473837204058,-286.598496636535,3,0.0063347383720406,-3.41060513164848e-13,0,-2.34187669256869e-17
"1","1",2000,250,"Gaussians",-177.551367535371,3,0.0144847515540844,-301.742922077868,3,0.00376340043821707,124.191554542497,0,0.0107213511158673
"1","1",2000,250,"Gaussians",-294.56389720127,3,0.00438037070601516,-269.02113490609,3,0.00603500643553626,-25.54276229518,0,-0.0016546357295211
"1","1",2000,250,"Gaussians",-250.839201120621,3,0.00887838197802929,-250.83920112062,3,0.00887838197802934,-4.54747350886464e-13,0,-5.20417042793042e-17
"1","1",2000,250,"Gaussians",-228.197763197374,3,0.00929197131581042,-228.197763197374,3,0.00929197131581042,0,0,0
