"generator_index","generator_sample_index","bic_diff_mean","bic_a0_mean","bic_a1_mean","mse_diff_mean","mse_a0_mean","mse_a1_mean","mse_diff_uniform_x_mean","mse_a0_uniform_x_mean","mse_a1_uniform_x_mean","nknots_a0_mean","nknots_a1_mean","nknots_diff_mean","n_mean","bic_diff_median","bic_a0_median","bic_a1_median","mse_diff_median","mse_a0_median","mse_a1_median","mse_diff_uniform_x_median","mse_a0_uniform_x_median","mse_a1_uniform_x_median","nknots_a0_median","nknots_a1_median","nknots_diff_median","n_median","bic_diff_sd","bic_a0_sd","bic_a1_sd","mse_diff_sd","mse_a0_sd","mse_a1_sd","mse_diff_uniform_x_sd","mse_a0_uniform_x_sd","mse_a1_uniform_x_sd","nknots_a0_sd","nknots_a1_sd","nknots_diff_sd","n_sd"
"1","1",0.0405272359726504,-422.202110978985,-422.242638214958,-9.39171885255083e-07,0.000235338419638249,0.000236277591523504,-1.14441364588414e-05,0.000902891345884269,0.00091433548234311,1.25,1.198,0.052,250,0,-421.966275538748,-422.053409538282,0,0.000196046249525925,0.000199825948531796,0,0.000499605947543364,0.000517716531299841,1,1,0,250,0.231451326259979,21.4531738796862,21.4581849840821,2.48505104814768e-05,0.000141495580918266,0.000140180686980006,0.000203205544852947,0.0010816882350801,0.00108186950074655,0.505976307793256,0.446311985921905,0.231090470619674,0
"2","1",12.3714172932927,-397.848676496011,-410.220093789303,0.000338443533975924,0.000900657360671241,0.000562213826695316,0.00125268376186831,0.00322807596631241,0.0019753922044441,3.368,2.934,0.434,250,11.3356916428617,-396.458330169466,-409.891682907411,0.000290484499314191,0.000833967743972991,0.000515535908107861,0.000615600964265635,0.00237036141529759,0.00131692569605811,4,3,1,250,12.2035050766574,25.0988088570445,23.207171087712,0.000401102883422232,0.000391333858547745,0.000307762793214838,0.0020445037280245,0.0028926813983021,0.00191797373582543,0.919928549983176,0.662209213228092,0.697579554222268,0
"3","1",0.613012209208304,-415.630878081007,-416.243890290216,-1.07718402479024e-05,0.000292871607659233,0.000303643447907135,-4.77454542109849e-05,0.000991707987969148,0.00103945344218013,2.152,1.93,0.222,250,0,-415.481895590306,-415.557072943029,0,0.000257141600953452,0.000259093435123763,0,0.00058142993211088,0.000598802052172125,2,2,0,250,1.65163628601528,22.3852377361081,22.5245201237684,9.15726262185271e-05,0.000154244843804988,0.000172318295766808,0.000383127189397943,0.00108228223601102,0.00112954555129069,0.49130312182504,0.359664729206062,0.499213810764201,0
"4","1",24.7127289113925,-379.222751995962,-403.935480907355,0.000940822196629161,0.00174867924420368,0.000807857047574521,0.00475981096939404,0.008332058698642,0.00357224772924796,3.122,2.734,0.388,250,20.4046228624593,-377.942274896368,-404.11396282271,0.000788048422236703,0.00165816388334693,0.000744003613941328,0.0034518285965206,0.00749530210812711,0.00276022038635802,4,3,1,250,24.3603424217736,31.2216714891913,24.3245636695357,0.000950220145407608,0.00092742670342192,0.000368929546127181,0.00518611149659217,0.00572984759264213,0.00279136027436006,0.972114197007763,0.589864289272981,0.720064570696229,0
"5","1",403.251324117297,81.7444524952301,-321.506871622067,0.0583338590107653,0.0637404619776762,0.0054066029669109,0.272905556620221,0.382546537369649,0.109640980749429,3.878,3.812,0.066,250,421.50172712037,107.106252905139,-351.530545587554,0.0613051792082063,0.0670664918669796,0.0028869325103278,0.283548426134193,0.362759171267987,0.0265484723408177,4,4,0,250,103.166372735657,91.0092069993534,79.8481146075268,0.0183500976772538,0.0189532047079536,0.00569682929661413,0.160342084000537,0.194735429732336,0.177264080673945,0.459933775837688,0.391103469490742,0.591899222316399,0
