"generator_index","generator_sample_index","bic_diff_mean","bic_a1_mean","bic_a2_mean","p_diff_mean","p_a1_mean","p_a2_mean","nknots_a1_mean","nknots_a2_mean","nknots_diff_mean","n_mean","m_mean","bic_diff_median","bic_a1_median","bic_a2_median","p_diff_median","p_a1_median","p_a2_median","nknots_a1_median","nknots_a2_median","nknots_diff_median","n_median","m_median","bic_diff_sd","bic_a1_sd","bic_a2_sd","p_diff_sd","p_a1_sd","p_a2_sd","nknots_a1_sd","nknots_a2_sd","nknots_diff_sd","n_sd","m_sd"
"1","1",114.537191630103,130.696850328267,16.1596586981637,-0.856536607299917,0.68182777779379,1.53836438509371,2.945,2.509,0.436,250,2000,119.386635051668,133.417647509082,2.65010950125773,0.0244369186893394,0.068227444108095,0.0365118344842909,3,3,0,250,2000,80.661108794161,229.131225262228,278.997160613258,16.2941220305537,9.12097697136811,25.2452328087138,0.319495034510831,0.54792263981261,0.534967466478281,0,0
"2","1",155.993500036245,-244.520193065404,-400.513693101649,0.00916716277806221,0.0100862662607335,0.000919103482671245,2.996,3,-0.004,250,2000,155.521283926564,-243.801866287236,-400.898685219924,0.009137334245356,0.0100067368240192,0.000824099861279381,3,3,0,250,2000,29.4504691073131,26.5478253769869,25.1754041336358,0.00195842798851516,0.00185505659737742,0.000484113377444528,0.0893979417659713,0,0.0893979417659713,0,0
"3","1",49.0070659157356,-341.570337761346,-390.577403677082,0.00217762035757107,0.00355377809875123,0.00137615774118016,3,2.851,0.149,250,2000,44.6758218297588,-348.935987429929,-390.257383146722,0.00184061780197899,0.00297949511200207,0.001243431584729,3,3,0,250,2000,25.9466283719345,39.9684234268451,25.8813430914918,0.00144943599305186,0.00185342557617539,0.000708725607522325,0,0.356266650033266,0.356266650033266,0,0
"4","1",253.283090383317,99.1253211374651,-154.157769245851,0.0506922661216656,0.0705260732586557,0.0198338071369901,3,3,0,250,2000,253.157959855452,103.077270075106,-158.943956444462,0.0503443460856919,0.0708819440088727,0.0185768961241068,3,3,0,250,2000,63.5051199167905,46.9395256163062,57.2267950424042,0.0143232808203528,0.0162645367581516,0.00764169293578984,0,0,0,0,0
