"generator_index","generator_sample_index","n","gen_fn","bic_a0","nknots_a0","mse_a0","mse_a0_uniform_x","bic_a1","nknots_a1","mse_a1","mse_a1_uniform_x","bic_diff","mse_diff","mse_diff_uniform_x","nknots_diff"
"1","1",200,"logistic",-288.742751412784,2,0.000951765617909029,0.00302698954316316,-285.046738509304,2,0.00127140293952097,0.00332684925878695,-3.69601290348078,-0.000319637321611943,-0.000299859715623788,0
"1","1",200,"logistic",-299.369816537371,2,0.000631568331302727,0.00254093656932675,-299.92365934732,2,0.000613616700487608,0.00259939104308259,0.553842809948719,1.79516308151197e-05,-5.84544737558456e-05,0
"1","1",200,"logistic",-286.506147730065,4,0.00128279848791797,0.00267506293888083,-299.024153988704,4,0.00064694012455281,0.000988428393200752,12.5180062586391,0.000635858363365163,0.00168663454568008,0
"1","1",200,"logistic",-291.133945167369,4,0.000551220441061231,0.000844956088973933,-296.61379337033,4,0.000359499734000594,0.000467294634147566,5.47984820296131,0.000191720707060637,0.000377661454826367,0
"1","1",200,"logistic",-302.076552019635,2,0.000542606880109045,0.00132766076107912,-304.279077744095,2,0.000514462119203888,0.00121762364593264,2.20252572446054,2.81447609051579e-05,0.000110037115146475,0
"1","1",200,"logistic",-287.421754890792,3,0.000898810097808573,0.00204658881085204,-292.094101231763,2,0.000477194410756715,0.000987140115333068,4.67234634097184,0.000421615687051857,0.00105944869551898,1
"1","1",200,"logistic",-302.638832575917,4,0.000415419842583832,0.000569964158834673,-309.136209664866,4,0.000261718506427686,0.000205543256002797,6.49737708894833,0.000153701336156146,0.000364420902831875,0
"1","1",200,"logistic",-322.269355480005,2,0.000586519791453569,0.000687759205086971,-326.546613694872,3,0.000570373349382778,0.000607596857644736,4.2772582148678,1.61464420707909e-05,8.0162347442235e-05,-1
"1","1",200,"logistic",-283.195359223624,2,0.000991307504391493,0.00227306884693137,-287.009879629005,3,0.000444374758960633,0.000538172227448073,3.81452040538028,0.00054693274543086,0.0017348966194833,-1
"1","1",200,"logistic",-308.272676778179,4,0.00113253362838607,0.0047388568633895,-321.32296807605,3,0.000678128108627329,0.0039669423726337,13.050291297871,0.000454405519758742,0.000771914490755797,1
"1","1",200,"logistic",-332.805429675954,4,0.00116791596823331,0.00694751359614904,-341.656133068116,3,0.000722234612413068,0.00278246695377843,8.85070339216219,0.000445681355820245,0.00416504664237061,1
"1","1",200,"logistic",-300.501826385433,2,0.00163815138658075,0.00598493494066823,-315.869826548152,4,0.000958233616808733,0.000888335582971311,15.3680001627197,0.000679917769772018,0.00509659935769692,-2
"1","1",200,"logistic",-299.470514609078,4,0.0014252434672263,0.00856252129211871,-315.653246297266,3,0.000323395634383831,0.00157551315202022,16.1827316881872,0.00110184783284247,0.00698700814009849,1
"1","1",200,"logistic",-337.373857608033,2,0.000532344317737788,0.0022179657308257,-336.08813311325,3,0.00027187977869119,0.00129328294927174,-1.28572449478281,0.000260464539046598,0.000924682781553961,-1
"1","1",200,"logistic",-338.852182320955,2,0.000503458756975577,0.000565910932287746,-338.852182320955,2,0.000503458756975575,0.000565910932287738,0,1.84314369322536e-18,7.80625564189563e-18,0
"1","1",200,"logistic",-321.812294415558,4,0.00108643884546989,0.00139289324856947,-342.913735646512,3,0.000456230628854318,0.000891440685590266,21.1014412309542,0.000630208216615574,0.000501452562979204,1
"1","1",200,"logistic",-271.814945325739,4,0.00155792069074806,0.00779957175826438,-274.839678660082,4,0.00100088689949855,0.0057984534039681,3.02473333434313,0.000557033791249504,0.00200111835429628,0
"1","1",200,"logistic",-298.677271837162,3,0.0008296026639252,0.00245648127155069,-303.199279160425,3,0.000800829102039945,0.00224733994329949,4.52200732326224,2.87735618852547e-05,0.000209141328251198,0
"1","1",200,"logistic",-302.899369443623,4,0.000628156643678791,0.000591549603784205,-318.219414652619,3,0.000357078325375146,0.000804564689134876,15.3200452089965,0.000271078318303645,-0.000213015085350671,1
"1","1",200,"logistic",-326.719847057163,4,0.000488634252319235,0.00100528404309024,-338.275792948386,3,0.000207626838657802,0.00038120271751548,11.555945891223,0.000281007413661432,0.000624081325574761,1
"1","1",200,"logistic",-366.449340647113,4,0.000531921252506785,0.00102393909132344,-375.501423409667,3,0.000293415432196026,0.000592157892511078,9.05208276255439,0.000238505820310759,0.00043178119881236,1
"1","1",200,"logistic",-339.48743607272,2,0.000365413777739901,0.00125785227917035,-349.483007017711,4,0.000426902817722279,0.000371032260444333,9.99557094499119,-6.1489039982378e-05,0.000886820018726014,-2
"1","1",200,"logistic",-346.452648887909,2,0.00153200814114736,0.00658246925352222,-349.340725279606,3,0.000804914385302796,0.00252305778963089,2.88807639169755,0.000727093755844562,0.00405941146389134,-1
"1","1",200,"logistic",-316.924899071803,4,0.00106982582121701,0.00677381755607102,-329.311108481534,3,0.000557541114364384,0.00445081611121923,12.3862094097305,0.000512284706852625,0.0023230014448518,1
"1","1",200,"logistic",-322.024573896037,2,0.00105915722935674,0.00333814054376331,-332.486602687672,4,0.000601496773931207,0.000930487929330907,10.4620287916356,0.000457660455425535,0.0024076526144324,-2
"1","1",200,"logistic",-310.916633957771,4,0.00158490083847827,0.0056978356867951,-331.972824659002,4,0.000495417034445009,0.00153405675323277,21.0561907012309,0.00108948380403326,0.00416377893356232,0
"1","1",200,"logistic",-319.491111748945,2,0.000793255928896475,0.00134930527495487,-332.100713500368,3,0.000244532744606183,0.000250465979463075,12.6096017514232,0.000548723184290292,0.0010988392954918,-1
"1","1",200,"logistic",-351.065543102376,4,0.000375738579465647,0.00086849389565381,-366.170633890139,3,0.000141746799707133,0.000310734264549692,15.1050907877631,0.000233991779758514,0.000557759631104118,1
"1","1",200,"logistic",-297.82655136723,4,0.000803668346732651,0.00437697393868882,-304.493193862884,4,0.000403128899491529,0.00254142207445798,6.66664249565366,0.000400539447241122,0.00183555186423084,0
"1","1",200,"logistic",-354.729331239801,4,0.000975171206673987,0.00328524452596329,-371.159327885001,3,0.00041030874684309,0.0042111685442615,16.4299966452003,0.000564862459830897,-0.000925924018298214,1
"1","1",200,"logistic",-312.13565990662,2,0.000790143175933918,0.00452294855506253,-314.660400599737,2,0.000909717117637555,0.00527341878202621,2.52474069311643,-0.000119573941703637,-0.000750470226963677,0
"1","1",200,"logistic",-309.491260053704,4,0.000720647053050927,0.000789730316047121,-318.281853118907,3,0.000634117016048534,0.00074460765626306,8.79059306520304,8.65300370023929e-05,4.51226597840602e-05,1
"1","1",200,"logistic",-310.762483981169,2,0.00147697084172157,0.0031185724954777,-322.19990587856,3,0.000377071301136384,0.000462152611994775,11.4374218973903,0.00109989954058519,0.00265641988348293,-1
"1","1",200,"logistic",-269.904933989386,4,0.00150926070463496,0.00690434191278207,-312.272129888848,3,0.000111468872495901,0.00093552352133003,42.3671958994619,0.00139779183213906,0.00596881839145204,1
"1","1",200,"logistic",-355.372218246395,4,0.000426330265950233,0.000575214051461923,-356.455093721033,4,0.00066573947339746,0.000862152785299405,1.08287547463726,-0.000239409207447227,-0.000286938733837481,0
"1","1",200,"logistic",-324.008001625503,2,0.00103540586609146,0.00200463976678361,-329.979705924996,3,0.000506890549466177,0.000562265076896348,5.9717042994929,0.000528515316625283,0.00144237468988726,-1
"1","1",200,"logistic",-298.422886429103,4,0.00106381757621732,0.00382749760943387,-340.139249203685,3,0.000569836003479782,0.00326953879771589,41.7163627745816,0.000493981572737534,0.000557958811717984,1
"1","1",200,"logistic",-328.557789692923,2,0.000484219838825505,0.00119402031558156,-333.521534425104,3,0.000174459181467577,0.00033482172431719,4.963744732181,0.000309760657357928,0.000859198591264367,-1
"1","1",200,"logistic",-323.526089223842,2,0.000725756381396737,0.00158316279789273,-332.833541523663,3,0.00030593176155,0.000211212099863611,9.30745229982051,0.000419824619846737,0.00137195069802912,-1
"1","1",200,"logistic",-331.462940027602,4,0.000996470127445906,0.000962828729871062,-341.856132246831,3,0.00057363833001393,0.000827887074100825,10.3931922192294,0.000422831797431976,0.000134941655770237,1
"1","1",200,"logistic",-315.244201201975,2,0.000515480898144933,0.000930689941909398,-318.364330502267,2,0.000490472985477354,0.00121592528481698,3.12012930029141,2.50079126675784e-05,-0.000285235342907584,0
"1","1",200,"logistic",-280.33918204297,4,0.000839786316168993,0.000992389724065996,-291.082244670787,4,0.000550891777454786,0.000693725860071789,10.7430626278175,0.000288894538714208,0.000298663863994207,0
"1","1",200,"logistic",-326.55886778165,4,0.000398282170015905,0.000774912633585276,-340.010162954798,3,0.000236206662617654,0.000272931023221522,13.4512951731483,0.000162075507398251,0.000501981610363754,1
"1","1",200,"logistic",-292.731148939894,4,0.000391684548927021,0.000380503328442008,-301.252528996946,3,0.000298790858755979,0.00080110432798926,8.52138005705291,9.28936901710424e-05,-0.000420600999547252,1
"1","1",200,"logistic",-321.760455218644,4,0.00116644718246747,0.00482399466400511,-328.898441643129,3,0.00099807858850287,0.00383374318346359,7.13798642448495,0.000168368593964596,0.00099025148054152,1
"1","1",200,"logistic",-293.160669463736,4,0.000691300486527052,0.00104016141202844,-300.221948301696,3,0.000389483364815819,0.000379233604760386,7.06127883795915,0.000301817121711233,0.000660927807268051,1
"1","1",200,"logistic",-311.074307929352,2,0.00105435152257624,0.00106224713080552,-311.074307929352,2,0.00105435152257625,0.00106224713080553,0,-8.45677694538693e-18,-1.14925430283463e-17,0
"1","1",200,"logistic",-306.438128424308,4,0.000780330974860054,0.00231945340341815,-322.427873214113,3,0.000495956435155797,0.000774646362724786,15.9897447898044,0.000284374539704257,0.00154480704069336,1
"1","1",200,"logistic",-274.39279031128,2,0.00179004872140251,0.00837838291535543,-304.106517989886,3,0.000647441140307247,0.00167179641297043,29.7137276786065,0.00114260758109526,0.00670658650238501,-1
"1","1",200,"logistic",-327.491591111164,2,0.000498515063267299,0.00105938997124838,-335.25632744464,3,0.000123640966330847,0.000267374086099607,7.76473633347661,0.000374874096936452,0.000792015885148776,-1
"1","1",200,"logistic",-320.487450929692,2,0.00122718921356912,0.005614653715719,-339.248926942581,3,0.000199480371480146,0.000520190506415101,18.7614760128896,0.00102770884208898,0.0050944632093039,-1
"1","1",200,"logistic",-335.691111138069,2,0.000717082435399993,0.00124671575397849,-336.678586836189,3,0.000472445964381619,0.00141547707812539,0.987475698119795,0.000244636471018374,-0.000168761324146896,-1
"1","1",200,"logistic",-320.985812877566,2,0.00064569510025289,0.00137828766788788,-326.158520691386,3,0.000133225332071143,0.000270168694088001,5.17270781382069,0.000512469768181747,0.00110811897379988,-1
"1","1",200,"logistic",-291.555299113585,4,0.000636837781553078,0.00168585028075675,-300.918548460551,3,0.000292618846032518,0.000834030918514242,9.36324934696592,0.00034421893552056,0.000851819362242503,1
"1","1",200,"logistic",-332.861372956275,4,0.000736771288153077,0.00230427850784657,-349.890884363711,3,0.00059109594630813,0.00181750955715674,17.0295114074355,0.000145675341844947,0.000486768950689827,1
"1","1",200,"logistic",-313.808566585319,4,0.000802768343805491,0.00132094221326662,-322.337742962985,2,0.000537040816808781,0.00120455123112478,8.5291763776662,0.000265727526996711,0.000116390982141848,2
"1","1",200,"logistic",-306.87640025591,4,0.000710774637996819,0.00364532642038988,-323.760874661915,3,0.000112506936115168,0.000764595357390851,16.8844744060047,0.000598267701881651,0.00288073106299903,1
"1","1",200,"logistic",-314.351289395913,4,0.000396045451454594,0.000955592497702843,-322.8439621642,3,0.000249108479893565,0.00100332221849283,8.49267276828635,0.00014693697156103,-4.77297207899874e-05,1
